name,team,date_of_birth,palce_of_birth,role,height,test_bat_rank,odi_bat_rank,t20_bat_rank,test_bow_rank,odi_bow_rank,t20_bow_rank,link,bat_path,bow_path,BT_Test_M,BT_Test_Inn,BT_Test_NO,BT_Test_Runs,BT_Test_HS,BT_Test_Avg,BT_Test_BF,BT_Test_SR,BT_Test_100,BT_Test_200,BT_Test_50,BT_Test_4s,BT_Test_6s,BT_ODI_M,BT_ODI_Inn,BT_ODI_NO,BT_ODI_Runs,BT_ODI_HS,BT_ODI_Avg,BT_ODI_BF,BT_ODI_SR,BT_ODI_100,BT_ODI_200,BT_ODI_50,BT_ODI_4s,BT_ODI_6s,BT_T20I_M,BT_T20I_Inn,BT_T20I_NO,BT_T20I_Runs,BT_T20I_HS,BT_T20I_Avg,BT_T20I_BF,BT_T20I_SR,BT_T20I_100,BT_T20I_200,BT_T20I_50,BT_T20I_4s,BT_T20I_6s,BT_IPL_M,BT_IPL_Inn,BT_IPL_NO,BT_IPL_Runs,BT_IPL_HS,BT_IPL_Avg,BT_IPL_BF,BT_IPL_SR,BT_IPL_100,BT_IPL_200,BT_IPL_50,BT_IPL_4s,BT_IPL_6s,BW_Test_M,BW_Test_Inn,BW_Test_B,BW_Test_Runs,BW_Test_Wkts,BW_Test_BBI,BW_Test_BBM,BW_Test_Econ,BW_Test_Avg,BW_Test_SR,BW_Test_5W,BW_Test_10W,BW_ODI_M,BW_ODI_Inn,BW_ODI_B,BW_ODI_Runs,BW_ODI_Wkts,BW_ODI_BBI,BW_ODI_BBM,BW_ODI_Econ,BW_ODI_Avg,BW_ODI_SR,BW_ODI_5W,BW_ODI_10W,BW_T20I_M,BW_T20I_Inn,BW_T20I_B,BW_T20I_Runs,BW_T20I_Wkts,BW_T20I_BBI,BW_T20I_BBM,BW_T20I_Econ,BW_T20I_Avg,BW_T20I_SR,BW_T20I_5W,BW_T20I_10W,BW_IPL_M,BW_IPL_Inn,BW_IPL_B,BW_IPL_Runs,BW_IPL_Wkts,BW_IPL_BBI,BW_IPL_BBM,BW_IPL_Econ,BW_IPL_Avg,BW_IPL_SR,BW_IPL_5W,BW_IPL_10W
Sachin Tendulkar,India,"Apr 24, 1973 (49 years)","Bombay (now Mumbai), Maharashtra",Batsman,5 ft 5 in,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/25,Scores/bat_25.csv,Scores/bow_25.csv,200,329,33,15921,248,53.79,29437,54.08,51,6,68,2058,69,463,452,41,18426,200,44.83,21367,86.24,49,1,96,2016,195,1,1,0,10,10,10.0,12,83.33,0,0,0,2,0,78,78,9,2334,100,33.83,1948,119.82,1,0,13,295,29,200,145,4240,2492,46,3/10,3/14,3.53,54.17,92.17,0,0,463,270,8054,6850,154,5/32,5/32,5.1,44.48,52.3,2,0,1,1,15,12,1,1/12,1/12,4.8,12.0,15.0,0,0,78,4,36,58,0,0/7,0/7,9.67,0.0,0.0,0,0
Virender Sehwag,India,"Oct 20, 1978 (44 years)",Delhi,Batsman,5 ft 8 in (173 cm),--,--,--,--,--,--,https://www.cricbuzz.com/profiles/26,Scores/bat_26.csv,Scores/bow_26.csv,104,180,6,8586,319,49.34,10441,82.23,23,6,32,1233,91,251,245,9,8273,219,35.06,7929,104.34,15,1,38,1132,136,19,18,0,394,68,21.89,271,145.39,0,0,2,43,16,104,104,5,2728,122,27.56,1755,155.44,2,0,16,334,106,104,91,3731,1894,40,5/104,5/118,3.05,47.35,93.28,1,0,251,146,4392,3853,96,4/6,4/6,5.26,40.14,45.75,0,0,19,1,6,20,0,0/20,0/20,20.0,0.0,0.0,0,0,104,15,136,235,6,2/18,2/18,10.37,39.17,22.67,0,0
Rahul Dravid,India,"Jan 11, 1973 (49 years)","Indore, Madhya Pradesh",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/27,Scores/bat_27.csv,Scores/bow_27.csv,164,286,32,13288,270,52.31,31258,42.51,36,5,63,1655,21,344,318,40,10889,153,39.17,15284,71.24,12,0,83,950,42,1,1,0,31,31,31.0,21,147.62,0,0,0,0,3,89,82,5,2174,75,28.23,1882,115.52,0,0,11,268,28,164,5,120,39,1,1/18,1/18,1.95,39.0,120.0,0,0,344,8,186,170,4,2/43,2/43,5.48,42.5,46.5,0,0,1,-,-,-,-,-,-,-,-,-,-,-,89,-,-,-,-,-,-,-,-,-,-,-
VVS Laxman,India,"Nov 01, 1974 (48 years)","Hyderabad, Andhra Pradesh",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/28,Scores/bat_28.csv,Scores/bow_28.csv,134,225,32,8781,281,45.5,17785,49.37,17,2,56,1135,5,86,83,7,2338,131,30.76,3282,71.24,6,0,10,222,4,-,-,-,-,-,-,-,-,-,-,-,-,-,20,20,1,282,52,14.84,267,105.62,0,0,1,33,5,134,13,324,126,2,1/2,1/2,2.33,63.0,162.0,0,0,86,4,42,40,0,0/5,0/5,5.71,0.0,0.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-
Sourav Ganguly,India,"Jul 08, 1972 (50 years)","Calcutta (now Kolkata), Bengal",Batsman,5 ft 11 in,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/29,Scores/bat_29.csv,Scores/bow_29.csv,113,188,17,7212,239,42.18,14070,51.26,16,1,35,900,57,311,300,21,11363,183,40.73,15416,73.71,22,0,72,1122,190,-,-,-,-,-,-,-,-,-,-,-,-,-,59,56,3,1349,91,25.45,1263,106.81,0,0,7,137,42,113,99,3117,1681,32,3/28,3/37,3.24,52.53,97.41,0,0,311,171,4561,3849,100,5/16,5/16,5.06,38.49,45.61,2,0,-,-,-,-,-,-,-,-,-,-,-,-,59,20,276,363,10,2/21,2/21,7.89,36.3,27.6,0,0
Shoaib Akhtar,Pakistan,"Aug 13, 1975 (47 years)","Rawalpindi, Punjab",Bowler,6 ft 0 in,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/30,Scores/bat_30.csv,Scores/bow_30.csv,46,67,13,544,47,10.07,1313,41.43,0,0,0,53,22,163,84,40,394,43,8.95,538,73.23,0,0,0,27,12,15,6,3,21,8,7.0,16,131.25,0,0,0,2,1,3,1,0,2,2,2.0,7,28.57,0,0,0,0,0,46,82,8143,4574,178,6/11,11/78,3.37,25.7,45.75,12,2,163,162,7764,6169,247,6/16,6/16,4.77,24.98,31.43,4,0,15,15,318,432,19,3/38,3/38,8.15,22.74,16.74,0,0,3,3,42,54,5,4/11,4/11,7.71,10.8,8.4,0,0
Mohammad Sami,Pakistan,"Feb 24, 1981 (41 years)","Karachi, Sind",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/31,Scores/bat_31.csv,Scores/bow_31.csv,36,56,14,487,49,11.6,1582,30.78,0,0,0,53,4,87,46,19,314,46,11.63,490,64.08,0,0,0,16,10,13,4,3,21,8,21.0,30,70.0,0,0,0,2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,36,66,7499,4483,85,5/36,8/106,3.59,52.74,88.22,2,0,87,85,4284,3567,121,5/10,5/10,5.0,29.48,35.4,1,0,13,13,276,387,21,3/16,3/16,8.41,18.43,13.14,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Shabbir Ahmed,Pakistan,"Apr 21, 1976 (46 years)","Khanewal, Punjab",Captain,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/32,Scores/bat_32.csv,Scores/bow_32.csv,10,15,5,88,24,8.8,234,37.61,0,0,0,10,0,32,11,5,10,2,1.67,29,34.48,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,19,2576,1175,51,5/48,8/109,2.74,23.04,50.51,2,0,32,32,1642,1192,33,3/32,3/32,4.36,36.12,49.76,0,0,1,1,12,19,0,0/19,0/19,9.5,0.0,0.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Shoaib Malik,Pakistan,"Feb 01, 1982 (40 years)","Sialkot, Punjab",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/33,Scores/bat_33.csv,Scores/bow_33.csv,35,60,6,1898,245,35.15,4155,45.68,3,1,8,239,17,287,258,40,7534,143,34.56,9199,81.9,9,0,44,603,113,124,111,33,2435,75,31.22,1938,125.64,0,0,9,196,69,7,5,1,52,24,13.0,47,110.64,0,0,0,5,0,35,43,2712,1519,32,4/33,7/59,3.36,47.47,84.75,0,0,287,217,7958,6192,158,4/19,4/19,4.67,39.19,50.37,0,0,124,50,570,675,28,2/7,2/7,7.11,24.11,20.36,0,0,7,5,51,85,2,1/6,1/6,10.0,42.5,25.5,0,0
Mohammad Yousuf,Pakistan,"Aug 27, 1974 (48 years)","Lahore, Punjab",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/34,Scores/bat_34.csv,Scores/bow_34.csv,90,156,12,7530,223,52.29,14372,52.39,24,4,33,957,51,288,273,40,9720,141,41.72,12942,75.1,15,0,64,785,90,3,3,0,50,26,16.67,43,116.28,0,0,0,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,90,1,6,3,0,0/3,0/3,3.0,0.0,0.0,0,0,288,2,2,1,1,1/0,1/0,0.0,1.0,2.0,0,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
