name,team,date_of_birth,palce_of_birth,role,height,test_bat_rank,odi_bat_rank,t20_bat_rank,test_bow_rank,odi_bow_rank,t20_bow_rank,link
Virat Kohli,India,"Nov 05, 1988 (34 years)",Delhi,Batsman,5 ft 9 in (175 cm),11,10,13,--,--,--,https://www.cricbuzz.com/profiles/1413/virat-kohli
Rohit Sharma,India,"Apr 30, 1987 (35 years)","Nagpur, Maharashtra",Batsman,--,9,9,21,--,--,--,https://www.cricbuzz.com/profiles/576/rohit-sharma
Shikhar Dhawan,India,"Dec 05, 1985 (37 years)",Delhi,Batsman,--,--,17,--,--,--,--,https://www.cricbuzz.com/profiles/1446/shikhar-dhawan
Shubman Gill,India,"Sep 08, 1999 (23 years)","Firozpur, Punjab",Batsman,--,62,36,--,--,--,--,https://www.cricbuzz.com/profiles/11808/shubman-gill
Shreyas Iyer,India,"Dec 06, 1994 (28 years)",Mumbai,Batsman,--,37,20,55,--,--,--,https://www.cricbuzz.com/profiles/9428/shreyas-iyer
Manish Pandey,India,"Sep 10, 1989 (33 years)","Nainital, Uttaranchal",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1836/manish-pandey
Mayank Agarwal,India,"Feb 16, 1991 (31 years)","Bangalore, Karnataka",Batsman,--,24,--,--,--,--,--,https://www.cricbuzz.com/profiles/2195/mayank-agarwal
Prithvi Shaw,India,"Nov 09, 1999 (23 years)","Thane, Maharashtra",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/12094/prithvi-shaw
Cheteshwar Pujara,India,"Jan 25, 1988 (34 years)","Rajkot, Gujarat",Batsman,--,28,--,--,--,--,--,https://www.cricbuzz.com/profiles/1448/cheteshwar-pujara
Ajinkya Rahane,India,"Jun 06, 1988 (34 years)","Ashwi-KD, Maharashtra",Batsman,--,40,--,--,--,--,--,https://www.cricbuzz.com/profiles/1447/ajinkya-rahane
Hardik Pandya,India,"Oct 11, 1993 (29 years)","Choryasi, Gujarat",Batting Allrounder,--,--,71,50,--,--,86,https://www.cricbuzz.com/profiles/9647/hardik-pandya
Hanuma Vihari,India,"Oct 13, 1993 (29 years)","Kakinada, Andhra Pradesh",Batting Allrounder,--,55,--,--,--,--,--,https://www.cricbuzz.com/profiles/8424/hanuma-vihari
Ravindra Jadeja,India,"Dec 06, 1988 (34 years)","Navagam-Khed, Saurashtra",Bowling Allrounder,--,36,--,--,19,62,--,https://www.cricbuzz.com/profiles/587/ravindra-jadeja
Ravichandran Ashwin,India,"Sep 17, 1986 (36 years)","Chennai, Tamil Nadu",Bowling Allrounder,--,86,--,--,2,--,22,https://www.cricbuzz.com/profiles/1593/ravichandran-ashwin
KL Rahul,India,"Apr 18, 1992 (30 years)","Mangaluru, Karnataka",WK-Batsman,--,47,35,19,--,--,--,https://www.cricbuzz.com/profiles/8733/kl-rahul
Sanju Samson,India,"Nov 11, 1994 (28 years)","Pulluvila, Vizhinjam, Trivandrum",WK-Batsman,--,--,89,--,--,--,--,https://www.cricbuzz.com/profiles/8271/sanju-samson
Wriddhiman Saha,India,"Oct 24, 1984 (38 years)",Shaktigarh,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1465/wriddhiman-saha
Rishabh Pant,India,"Oct 04, 1997 (25 years)","Haridwar, Uttarakhand",WK-Batsman,--,5,82,82,--,--,--,https://www.cricbuzz.com/profiles/10744/rishabh-pant
Mohammed Shami,India,"Sep 03, 1990 (32 years)","Amroha, Uttar Pradesh",Bowler,--,--,--,--,17,44,87,https://www.cricbuzz.com/profiles/7909/mohammed-shami
Jasprit Bumrah,India,"Dec 06, 1993 (29 years)",Ahmedabad,Bowler,--,--,--,--,4,16,79,https://www.cricbuzz.com/profiles/9311/jasprit-bumrah
Kuldeep Yadav,India,"Dec 14, 1994 (27 years)","Kanpur, Uttar Pradesh",Bowler,--,--,--,--,69,28,--,https://www.cricbuzz.com/profiles/8292/kuldeep-yadav
Yuzvendra Chahal,India,"Jul 23, 1990 (32 years)","Jind, Haryana",Bowler,--,--,--,--,--,27,40,https://www.cricbuzz.com/profiles/7910/yuzvendra-chahal
Navdeep Saini,India,"Nov 23, 1992 (30 years)","Karnal, Haryana",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9715/navdeep-saini
Shardul Thakur,India,"Oct 16, 1991 (31 years)","Palghar, Maharashtra",Bowler,--,--,--,--,50,42,--,https://www.cricbuzz.com/profiles/8683/shardul-thakur
Umesh Yadav,India,"Oct 25, 1987 (35 years)","Nagpur, Maharashtra",Bowler,--,--,--,--,39,--,--,https://www.cricbuzz.com/profiles/1858/umesh-yadav
Mohammed Siraj,India,"Mar 13, 1994 (28 years)",Hyderabad,Bowler,--,--,--,--,48,26,92,https://www.cricbuzz.com/profiles/10808/mohammed-siraj
William Porterfield,Ireland,"Sep 06, 1984 (38 years)",Londonderry,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/625/william-porterfield
James McCollum,Ireland,"Aug 01, 1995 (27 years)",--,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/13942/james-mccollum
Andrew Balbirnie,Ireland,"Dec 28, 1990 (31 years)","Dublin, Ireland",Batsman,--,--,43,48,--,--,--,https://www.cricbuzz.com/profiles/6710/andrew-balbirnie
Tyrone Kane,Ireland,"Jul 08, 1994 (28 years)","Dublin, Ireland",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10415/tyrone-kane
Kevin O Brien,Ireland,"Mar 04, 1984 (38 years)","Dublin, Ireland",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/690/kevin-o-brien
Paul Stirling,Ireland,"Sep 03, 1990 (32 years)",Ireland,Batting Allrounder,--,--,15,26,--,--,--,https://www.cricbuzz.com/profiles/1114/paul-stirling
Stuart Thompson,Ireland,"Aug 15, 1991 (31 years)","Londonderry, Ireland",Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7985/stuart-thompson
Gary Wilson,Ireland,"Feb 05, 1986 (36 years)","Dundonald, Northern Ireland",WK-Batsman,5 ft 10 in,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/739/gary-wilson
Lorcan Tucker,Ireland,"Sep 10, 1996 (26 years)",Ireland,WK-Batsman,--,--,--,69,--,--,--,https://www.cricbuzz.com/profiles/11131/lorcan-tucker
Peter Chase,Ireland,"Oct 09, 1993 (29 years)","Dublin, Ireland",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10099/peter-chase
George Dockrell,Ireland,"Jul 22, 1992 (30 years)",Dublin,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/6329/george-dockrell
Tim Murtagh,Ireland,"Aug 02, 1981 (41 years)","Lambeth, London",Bowler,6 ft 2 in,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/6661/tim-murtagh
Mark Adair,Ireland,"Mar 27, 1996 (26 years)","Holywood, Northern Ireland",Bowler,--,--,--,--,--,--,65,https://www.cricbuzz.com/profiles/10449/mark-adair
Andy McBrine,Ireland,"Apr 30, 1993 (29 years)",Northern Ireland,Bowler,--,--,--,--,--,14,--,https://www.cricbuzz.com/profiles/9667/andy-mcbrine
Barry McCarthy,Ireland,"Sep 13, 1992 (30 years)",--,Bowler,--,--,--,--,--,--,100,https://www.cricbuzz.com/profiles/10451/barry-mccarthy
Boyd Rankin,Ireland,"Jul 05, 1984 (38 years)",Londonderry,Bowler,6 ft 7 in,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/626/boyd-rankin
Aaron Finch,Australia,"Nov 17, 1986 (36 years)","Colac, Victoria",Batsman,1.74 m,--,23,9,--,--,--,https://www.cricbuzz.com/profiles/1643/aaron-finch
Steven Smith,Australia,"Jun 02, 1989 (33 years)","Sydney, New South Wales",Batsman,--,2,6,--,--,--,--,https://www.cricbuzz.com/profiles/2250/steven-smith
David Warner,Australia,"Oct 27, 1986 (36 years)","Paddington, New South Wales",Batsman,1.70 m,23,5,39,--,--,--,https://www.cricbuzz.com/profiles/1739/david-warner
Joe Burns,Australia,"Sep 06, 1989 (33 years)","Herston, Brisbane, Queensland",Batsman,--,73,--,--,--,--,--,https://www.cricbuzz.com/profiles/8121/joe-burns
Will Pucovski,Australia,"Feb 02, 1998 (24 years)","Malvern, Victoria",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/12228/will-pucovski
Glenn Maxwell,Australia,"Oct 14, 1988 (34 years)","Kew, Melbourne, Victoria",Batting Allrounder,--,--,25,36,--,--,--,https://www.cricbuzz.com/profiles/7662/glenn-maxwell
Marcus Stoinis,Australia,"Aug 16, 1989 (33 years)",Perth,Batting Allrounder,--,--,77,40,--,--,--,https://www.cricbuzz.com/profiles/8989/marcus-stoinis
Moises Henriques,Australia,"Feb 01, 1987 (35 years)","Funchal, Portugal",Batting Allrounder,1.87 m,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1437/moises-henriques
Marnus Labuschagne,Australia,"Jun 22, 1994 (28 years)","Klerksdorp, North West Province, South Africa",Batting Allrounder,--,1,69,--,--,--,--,https://www.cricbuzz.com/profiles/10182/marnus-labuschagne
Travis Head,Australia,"Dec 29, 1993 (28 years)","Adelaide, South Australia",Batting Allrounder,--,13,30,--,--,--,--,https://www.cricbuzz.com/profiles/8497/travis-head
Michael Neser,Australia,"Mar 29, 1990 (32 years)","Pretoria, South Africa",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8130/michael-neser
Ashton Agar,Australia,"Oct 14, 1993 (29 years)","Melbourne, Victoria",Bowling Allrounder,--,--,--,--,--,85,26,https://www.cricbuzz.com/profiles/8508/ashton-agar
Cameron Green,Australia,"Jun 03, 1999 (23 years)",--,Bowling Allrounder,--,41,--,--,77,--,--,https://www.cricbuzz.com/profiles/12225/cameron-green
