name,team,date_of_birth,palce_of_birth,role,height,test_bat_rank,odi_bat_rank,t20_bat_rank,test_bow_rank,odi_bow_rank,t20_bow_rank,link,bat_path,bow_path,BT_Test_M,BT_Test_Inn,BT_Test_NO,BT_Test_Runs,BT_Test_HS,BT_Test_Avg,BT_Test_BF,BT_Test_SR,BT_Test_100,BT_Test_200,BT_Test_50,BT_Test_4s,BT_Test_6s,BT_ODI_M,BT_ODI_Inn,BT_ODI_NO,BT_ODI_Runs,BT_ODI_HS,BT_ODI_Avg,BT_ODI_BF,BT_ODI_SR,BT_ODI_100,BT_ODI_200,BT_ODI_50,BT_ODI_4s,BT_ODI_6s,BT_T20I_M,BT_T20I_Inn,BT_T20I_NO,BT_T20I_Runs,BT_T20I_HS,BT_T20I_Avg,BT_T20I_BF,BT_T20I_SR,BT_T20I_100,BT_T20I_200,BT_T20I_50,BT_T20I_4s,BT_T20I_6s,BT_IPL_M,BT_IPL_Inn,BT_IPL_NO,BT_IPL_Runs,BT_IPL_HS,BT_IPL_Avg,BT_IPL_BF,BT_IPL_SR,BT_IPL_100,BT_IPL_200,BT_IPL_50,BT_IPL_4s,BT_IPL_6s,BW_Test_M,BW_Test_Inn,BW_Test_B,BW_Test_Runs,BW_Test_Wkts,BW_Test_BBI,BW_Test_BBM,BW_Test_Econ,BW_Test_Avg,BW_Test_SR,BW_Test_5W,BW_Test_10W,BW_ODI_M,BW_ODI_Inn,BW_ODI_B,BW_ODI_Runs,BW_ODI_Wkts,BW_ODI_BBI,BW_ODI_BBM,BW_ODI_Econ,BW_ODI_Avg,BW_ODI_SR,BW_ODI_5W,BW_ODI_10W,BW_T20I_M,BW_T20I_Inn,BW_T20I_B,BW_T20I_Runs,BW_T20I_Wkts,BW_T20I_BBI,BW_T20I_BBM,BW_T20I_Econ,BW_T20I_Avg,BW_T20I_SR,BW_T20I_5W,BW_T20I_10W,BW_IPL_M,BW_IPL_Inn,BW_IPL_B,BW_IPL_Runs,BW_IPL_Wkts,BW_IPL_BBI,BW_IPL_BBM,BW_IPL_Econ,BW_IPL_Avg,BW_IPL_SR,BW_IPL_5W,BW_IPL_10W
Virat Kohli,India,"Nov 05, 1988 (34 years)",Delhi,Batsman,5 ft 9 in (175 cm),11,10,13,--,--,--,https://www.cricbuzz.com/profiles/1413/virat-kohli,Scores/bat_1413.csv,Scores/bow_1413.csv,102,173,10,8074,254,49.53,14499,55.69,27,7,28,910,24,264,255,39,12358,183,57.21,13317,92.8,43,0,64,1161,126,115,107,31,4008,122,52.74,2905,137.97,1,0,37,356,117,223,215,32,6624,113,36.2,5129,129.15,5,0,44,578,218,102,11,175,84,0,0/0,0/0,2.88,0.0,0.0,0,0,264,48,641,665,4,1/15,1/15,6.22,166.25,160.25,0,0,115,13,152,204,4,1/13,1/13,8.05,51.0,38.0,0,0,223,26,251,368,4,2/25,2/25,8.8,92.0,62.75,0,0
Rohit Sharma,India,"Apr 30, 1987 (35 years)","Nagpur, Maharashtra",Batsman,--,9,9,21,--,--,--,https://www.cricbuzz.com/profiles/576/rohit-sharma,Scores/bat_576.csv,Scores/bow_576.csv,45,77,9,3137,212,46.13,5625,55.77,8,1,14,335,64,235,228,34,9454,264,48.73,10572,89.42,29,3,46,862,256,148,140,15,3853,118,30.82,2767,139.25,4,0,29,348,182,227,222,28,5879,109,30.3,4526,129.89,1,0,40,519,240,45,16,383,224,2,1/26,1/35,3.51,112.0,191.5,0,0,235,38,593,515,8,2/27,2/27,5.21,64.38,74.12,0,0,148,9,68,113,1,1/22,1/22,9.97,113.0,68.0,0,0,227,32,339,453,15,4/6,4/6,8.02,30.2,22.6,0,0
Shikhar Dhawan,India,"Dec 05, 1985 (37 years)",Delhi,Batsman,--,--,17,--,--,--,--,https://www.cricbuzz.com/profiles/1446/shikhar-dhawan,Scores/bat_1446.csv,Scores/bow_1446.csv,34,58,1,2315,190,40.61,3458,66.95,7,0,5,316,12,166,163,10,6790,143,44.38,7428,91.41,17,0,39,842,79,68,66,3,1759,92,27.92,1392,126.36,0,0,11,191,50,206,205,26,6243,106,34.88,4942,126.33,2,0,47,701,136,34,5,54,18,0,0/0,0/0,2.0,0.0,0.0,0,0,166,-,-,-,-,-,-,-,-,-,-,-,68,-,-,-,-,-,-,-,-,-,-,-,206,6,48,66,4,1/7,1/7,8.25,16.5,12.0,0,0
Shubman Gill,India,"Sep 08, 1999 (23 years)","Firozpur, Punjab",Batsman,--,62,36,--,--,--,--,https://www.cricbuzz.com/profiles/11808/shubman-gill,Scores/bat_11808.csv,Scores/bow_11808.csv,11,21,2,579,91,30.47,1010,57.33,0,0,4,75,8,15,15,3,687,130,57.25,693,99.13,1,0,4,74,11,-,-,-,-,-,-,-,-,-,-,-,-,-,74,71,12,1900,96,32.2,1517,125.25,0,0,14,188,47,11,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74,-,-,-,-,-,-,-,-,-,-,-
Shreyas Iyer,India,"Dec 06, 1994 (28 years)",Mumbai,Batsman,--,37,20,55,--,--,--,https://www.cricbuzz.com/profiles/9428/shreyas-iyer,Scores/bat_9428.csv,Scores/bow_9428.csv,5,9,0,422,105,46.89,615,68.62,1,0,3,52,9,38,34,3,1534,113,49.48,1595,96.18,2,0,14,152,30,49,45,11,1043,74,30.68,767,135.98,0,0,7,85,42,101,101,13,2776,96,31.55,2214,125.38,0,0,19,237,99,5,-,-,-,-,-,-,-,-,-,-,-,38,4,31,37,0,0/1,0/1,7.16,0.0,0.0,0,0,49,1,2,2,0,0/2,0/2,0.0,0.0,0.0,0,0,101,1,6,7,0,0/7,0/7,7.0,0.0,0.0,0,0
Manish Pandey,India,"Sep 10, 1989 (33 years)","Nainital, Uttaranchal",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1836/manish-pandey,Scores/bat_1836.csv,Scores/bow_1836.csv,-,-,-,-,-,-,-,-,-,-,-,-,-,29,24,7,566,104,33.29,625,90.56,1,0,2,45,5,39,33,17,709,79,44.31,562,126.16,0,0,3,49,19,160,149,27,3648,114,29.9,3002,121.52,1,0,21,317,105,-,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,39,-,-,-,-,-,-,-,-,-,-,-,160,-,-,-,-,-,-,-,-,-,-,-
Mayank Agarwal,India,"Feb 16, 1991 (31 years)","Bangalore, Karnataka",Batsman,--,24,--,--,--,--,--,https://www.cricbuzz.com/profiles/2195/mayank-agarwal,Scores/bat_2195.csv,Scores/bow_2195.csv,21,36,0,1488,243,41.33,2782,53.49,4,2,6,189,28,5,5,0,86,32,17.2,83,103.61,0,0,0,12,1,-,-,-,-,-,-,-,-,-,-,-,-,-,113,107,4,2331,106,22.63,1733,134.51,1,0,12,227,91,21,-,-,-,-,-,-,-,-,-,-,-,5,1,6,10,0,0/10,0/10,10.0,0.0,0.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,113,-,-,-,-,-,-,-,-,-,-,-
Prithvi Shaw,India,"Nov 09, 1999 (23 years)","Thane, Maharashtra",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/12094/prithvi-shaw,Scores/bat_12094.csv,Scores/bow_12094.csv,5,9,1,339,134,42.38,394,86.04,1,0,2,48,2,6,6,0,189,49,31.5,166,113.86,0,0,0,32,2,1,1,0,0,0,0.0,1,0.0,0,0,0,0,0,63,63,0,1588,99,25.21,1077,147.45,0,0,12,192,55,5,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,63,-,-,-,-,-,-,-,-,-,-,-
Cheteshwar Pujara,India,"Jan 25, 1988 (34 years)","Rajkot, Gujarat",Batsman,--,28,--,--,--,--,--,https://www.cricbuzz.com/profiles/1448/cheteshwar-pujara,Scores/bat_1448.csv,Scores/bow_1448.csv,96,164,9,6792,206,43.82,15383,44.15,18,3,33,816,15,5,5,0,51,27,10.2,130,39.23,0,0,0,4,0,-,-,-,-,-,-,-,-,-,-,-,-,-,30,22,3,390,51,20.53,391,99.74,0,0,1,50,4,96,1,6,2,0,0/2,0/2,2.0,0.0,0.0,0,0,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-
Ajinkya Rahane,India,"Jun 06, 1988 (34 years)","Ashwi-KD, Maharashtra",Batsman,--,40,--,--,--,--,--,https://www.cricbuzz.com/profiles/1447/ajinkya-rahane,Scores/bat_1447.csv,Scores/bow_1447.csv,82,140,12,4931,188,38.52,9972,49.45,12,0,25,561,34,90,87,3,2962,111,35.26,3767,78.63,3,0,24,293,33,20,20,2,375,61,20.83,331,113.29,0,0,1,32,6,158,148,16,4074,105,30.86,3376,120.68,2,0,28,431,80,82,-,-,-,-,-,-,-,-,-,-,-,90,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,158,1,6,5,1,1/5,1/5,5.0,5.0,6.0,0,0
