video_link,duration,title,views,likes,comments,date,month,year,date_month_year,day
https://www.youtube.com//watch?v=FrqBWQ-mVEc,10,The Future Will Be Shaped by Optimists | Kevin Kelly | TED,51273,1900,262,21,4,2022,21/4/2022,Thu
https://www.youtube.com//watch?v=iIne-UO7wUo,9,An Olympic Champion’s Unwavering Advocacy for Mothers in Sports | Allyson Felix | TED,25597,355,53,20,4,2022,20/4/2022,Wed
https://www.youtube.com//watch?v=5T2VRY0LECc,7,The African Swamp Protecting Earth's Environment | Vera Songwe | TED,21430,633,40,20,4,2022,20/4/2022,Wed
https://www.youtube.com//watch?v=YRvf00NooN8,66,Elon Musk: A future worth getting excited about | TED | Tesla Texas Gigafactory interview,3609893,95000,8757,18,4,2022,18/4/2022,Mon
https://www.youtube.com//watch?v=cdZZpaB2kDM,55,"Elon Musk talks Twitter, Tesla and how his brain works — live at TED2022",4405481,115000,10444,14,4,2022,14/4/2022,Thu
https://www.youtube.com//watch?v=DJWGBoGmxJE,7,Ukraine's Fight to Keep Educating Its Children | Zoya Lytvyn | TED,38252,1200,225,14,4,2022,14/4/2022,Thu
https://www.youtube.com//watch?v=jsFAFsx9otw,8,Why Entrepreneurship Flourishes in The Countryside | Xiaowei R. Wang | TED,32369,449,95,14,4,2022,14/4/2022,Thu
https://www.youtube.com//watch?v=wDmEPFO_hd0,15,Stand with Ukraine in the Fight against Evil | Garry Kasparov | TED,137166,7300,1329,12,4,2022,12/4/2022,Tue
https://www.youtube.com//watch?v=zFJH9zUK2mo,13,The Deep Sea's Medicinal Secrets | Sam Afoullouss | TED,34071,473,56,11,4,2022,11/4/2022,Mon
https://www.youtube.com//watch?v=JEMqetu-JCI,6,Climate Change Isn't a Distant Threat -- It's Our Reality | Selina Neirok Leem | TED Countdown,39376,546,502,10,4,2022,10/4/2022,Sun
https://www.youtube.com//watch?v=FG6NHP9nV3g,9,3 Things Men Can Do to Promote Gender Equity | Jimmie Briggs | TED,37296,518,405,8,4,2022,8/4/2022,Fri
https://www.youtube.com//watch?v=j4QlG5jKpio,10,The Power of Purpose in Business | Ashley M. Grice | TED,51525,715,110,7,4,2022,7/4/2022,Thu
https://www.youtube.com//watch?v=dQYfflJ4V5Q,9,"Are Ad Agencies, PR Firms and Lobbyists Destroying the Climate? | Solitaire Townsend | TED Countdown",25438,353,72,6,4,2022,6/4/2022,Wed
https://www.youtube.com//watch?v=0G2U0R0hOCU,16,The Hidden Power of Sad Songs and Rainy Days | Susan Cain and Min Kym | TED,82889,1151,153,5,4,2022,5/4/2022,Tue
https://www.youtube.com//watch?v=p-JeKjsRiVI,13,What It's Like To Be a War Refugee | Zarlasht Halaimzai | TED,31855,442,75,4,4,2022,4/4/2022,Mon
https://www.youtube.com//watch?v=1Rr-pZoftho,10,Self-Assembling Robots and the Potential of Artificial Evolution | Emma Hart | TED,63375,880,282,1,4,2022,1/4/2022,Fri
https://www.youtube.com//watch?v=pkMIsc_nhQo,15,How to Design Mosquitoes Out of Cities | Cameron Webb | TED,36946,513,65,1,4,2022,1/4/2022,Fri
https://www.youtube.com//watch?v=bIw5ZLITSfo,17,3 Ways to Find Hope in Hopeless Times | Wajahat Ali | TED,45843,636,228,31,3,2022,31/3/2022,Thu
https://www.youtube.com//watch?v=ue40_irEXgk,21,The Critical Role of Black Mothers -- and How to Support All Moms | Anna Malaika Tubbs | TED,14674,203,15,30,3,2022,30/3/2022,Wed
https://www.youtube.com//watch?v=zZEfiiCFEKQ,6,What Does a Voice of the Future Sound Like? | Reeps One | TED Countdown,273563,3799,289,30,3,2022,30/3/2022,Wed
https://www.youtube.com//watch?v=uXZVfNJ_EXY,15,The Creativity and Community Behind Fanfiction | Cecilia Aragon | TED,25954,360,42,29,3,2022,29/3/2022,Tue
https://www.youtube.com//watch?v=vO5Rio_skIU,12,How to Share Public Money Fairly | Maja Bosnic | TED,39904,554,118,28,3,2022,28/3/2022,Mon
https://www.youtube.com//watch?v=-dtwId4MO-E,18,Why US Laws Must Expand Beyond the Nuclear Family | Diana Adams | TED,39526,548,64,25,3,2022,25/3/2022,Fri
https://www.youtube.com//watch?v=4vYUfKGtJA8,9,3 Ways Your Company's Data Can Jump-Start Climate Action | Massimo Russo | TED,25959,360,106,25,3,2022,25/3/2022,Fri
https://www.youtube.com//watch?v=fCpKG1QJC14,9,What Seaweed and Cow Burps Have to Do with Climate Change | Ermias Kebreab | TED Countdown,18783,260,86,24,3,2022,24/3/2022,Thu
https://www.youtube.com//watch?v=NkYk36wpk-4,13,My Secret to Creating Real Magic | Christina Tosi | TED,53537,743,69,23,3,2022,23/3/2022,Wed
https://www.youtube.com//watch?v=dvxmn_6o8g0,7,The Carbonless Fuel That Could Change How We Ship Goods | Maria Gallucci | TED,46895,651,130,22,3,2022,22/3/2022,Tue
https://www.youtube.com//watch?v=G9UEBLcJIRc,16,The Counterintuitive Psychology of Insurance | Orit Tykocinski | TED,40817,566,86,21,3,2022,21/3/2022,Mon
https://www.youtube.com//watch?v=1oDuK08hrrE,10,"How To Fix The ""Bugs"" In The Net-Zero Code | Lucas Joppa | TED Countdown",36721,510,50,20,3,2022,20/3/2022,Sun
https://www.youtube.com//watch?v=AnIyzhRX9IM,8,"The ""Greenhouse-in-a-Box"" Empowering Farmers in India | Sathya Raghu Mokkapati | TED Countdown",32891,456,45,19,3,2022,19/3/2022,Sat
https://www.youtube.com//watch?v=CD7iYdtrJfY,14,Climate Action Needs New Frontline Leadership | Ozawa Bineshi Albert | TED,18108,251,108,18,3,2022,18/3/2022,Fri
https://www.youtube.com//watch?v=n4QRIKCebSI,11,Why Is China Appointing Judges to Combat Climate Change? | James K. Thornton | TED Countdown,64460,895,149,18,3,2022,18/3/2022,Fri
