player,team,link
Virat Kohli,India,https://www.cricbuzz.com/profiles/1413/virat-kohli
Rohit Sharma,India,https://www.cricbuzz.com/profiles/576/rohit-sharma
Shikhar Dhawan,India,https://www.cricbuzz.com/profiles/1446/shikhar-dhawan
Shubman Gill,India,https://www.cricbuzz.com/profiles/11808/shubman-gill
Shreyas Iyer,India,https://www.cricbuzz.com/profiles/9428/shreyas-iyer
Manish Pandey,India,https://www.cricbuzz.com/profiles/1836/manish-pandey
Mayank Agarwal,India,https://www.cricbuzz.com/profiles/2195/mayank-agarwal
Prithvi Shaw,India,https://www.cricbuzz.com/profiles/12094/prithvi-shaw
Cheteshwar Pujara,India,https://www.cricbuzz.com/profiles/1448/cheteshwar-pujara
Ajinkya Rahane,India,https://www.cricbuzz.com/profiles/1447/ajinkya-rahane
Hardik Pandya,India,https://www.cricbuzz.com/profiles/9647/hardik-pandya
Hanuma Vihari,India,https://www.cricbuzz.com/profiles/8424/hanuma-vihari
Ravindra Jadeja,India,https://www.cricbuzz.com/profiles/587/ravindra-jadeja
Ravichandran Ashwin,India,https://www.cricbuzz.com/profiles/1593/ravichandran-ashwin
KL Rahul,India,https://www.cricbuzz.com/profiles/8733/kl-rahul
Sanju Samson,India,https://www.cricbuzz.com/profiles/8271/sanju-samson
Wriddhiman Saha,India,https://www.cricbuzz.com/profiles/1465/wriddhiman-saha
Rishabh Pant,India,https://www.cricbuzz.com/profiles/10744/rishabh-pant
Mohammed Shami,India,https://www.cricbuzz.com/profiles/7909/mohammed-shami
Jasprit Bumrah,India,https://www.cricbuzz.com/profiles/9311/jasprit-bumrah
Kuldeep Yadav,India,https://www.cricbuzz.com/profiles/8292/kuldeep-yadav
Yuzvendra Chahal,India,https://www.cricbuzz.com/profiles/7910/yuzvendra-chahal
Navdeep Saini,India,https://www.cricbuzz.com/profiles/9715/navdeep-saini
Shardul Thakur,India,https://www.cricbuzz.com/profiles/8683/shardul-thakur
Umesh Yadav,India,https://www.cricbuzz.com/profiles/1858/umesh-yadav
Mohammed Siraj,India,https://www.cricbuzz.com/profiles/10808/mohammed-siraj
William Porterfield,Ireland,https://www.cricbuzz.com/profiles/625/william-porterfield
James McCollum,Ireland,https://www.cricbuzz.com/profiles/13942/james-mccollum
Andrew Balbirnie,Ireland,https://www.cricbuzz.com/profiles/6710/andrew-balbirnie
Tyrone Kane,Ireland,https://www.cricbuzz.com/profiles/10415/tyrone-kane
Kevin O Brien,Ireland,https://www.cricbuzz.com/profiles/690/kevin-o-brien
Paul Stirling,Ireland,https://www.cricbuzz.com/profiles/1114/paul-stirling
Stuart Thompson,Ireland,https://www.cricbuzz.com/profiles/7985/stuart-thompson
Gary Wilson,Ireland,https://www.cricbuzz.com/profiles/739/gary-wilson
Lorcan Tucker,Ireland,https://www.cricbuzz.com/profiles/11131/lorcan-tucker
Peter Chase,Ireland,https://www.cricbuzz.com/profiles/10099/peter-chase
George Dockrell,Ireland,https://www.cricbuzz.com/profiles/6329/george-dockrell
Tim Murtagh,Ireland,https://www.cricbuzz.com/profiles/6661/tim-murtagh
Mark Adair,Ireland,https://www.cricbuzz.com/profiles/10449/mark-adair
Andy McBrine,Ireland,https://www.cricbuzz.com/profiles/9667/andy-mcbrine
Barry McCarthy,Ireland,https://www.cricbuzz.com/profiles/10451/barry-mccarthy
Boyd Rankin,Ireland,https://www.cricbuzz.com/profiles/626/boyd-rankin
Aaron Finch,Australia,https://www.cricbuzz.com/profiles/1643/aaron-finch
Steven Smith,Australia,https://www.cricbuzz.com/profiles/2250/steven-smith
David Warner,Australia,https://www.cricbuzz.com/profiles/1739/david-warner
Joe Burns,Australia,https://www.cricbuzz.com/profiles/8121/joe-burns
Will Pucovski,Australia,https://www.cricbuzz.com/profiles/12228/will-pucovski
Glenn Maxwell,Australia,https://www.cricbuzz.com/profiles/7662/glenn-maxwell
Marcus Stoinis,Australia,https://www.cricbuzz.com/profiles/8989/marcus-stoinis
Moises Henriques,Australia,https://www.cricbuzz.com/profiles/1437/moises-henriques
Marnus Labuschagne,Australia,https://www.cricbuzz.com/profiles/10182/marnus-labuschagne
Travis Head,Australia,https://www.cricbuzz.com/profiles/8497/travis-head
Michael Neser,Australia,https://www.cricbuzz.com/profiles/8130/michael-neser
Ashton Agar,Australia,https://www.cricbuzz.com/profiles/8508/ashton-agar
Cameron Green,Australia,https://www.cricbuzz.com/profiles/12225/cameron-green
Daniel Sams,Australia,https://www.cricbuzz.com/profiles/13162/daniel-sams
Sean Abbott,Australia,https://www.cricbuzz.com/profiles/8136/sean-abbott
Alex Carey,Australia,https://www.cricbuzz.com/profiles/9200/alex-carey
Matthew Wade,Australia,https://www.cricbuzz.com/profiles/1649/matthew-wade
Tim Paine,Australia,https://www.cricbuzz.com/profiles/1994/tim-paine
Pat Cummins,Australia,https://www.cricbuzz.com/profiles/8095/pat-cummins
Nathan Lyon,Australia,https://www.cricbuzz.com/profiles/7850/nathan-lyon
Mitchell Starc,Australia,https://www.cricbuzz.com/profiles/7710/mitchell-starc
Adam Zampa,Australia,https://www.cricbuzz.com/profiles/8642/adam-zampa
Josh Hazlewood,Australia,https://www.cricbuzz.com/profiles/6258/josh-hazlewood
Andrew Tye,Australia,https://www.cricbuzz.com/profiles/9617/andrew-tye
James Pattinson,Australia,https://www.cricbuzz.com/profiles/2283/james-pattinson
Mitchell Swepson,Australia,https://www.cricbuzz.com/profiles/10626/mitchell-swepson
Tamim Iqbal,Bangladesh,https://www.cricbuzz.com/profiles/612/tamim-iqbal
Soumya Sarkar,Bangladesh,https://www.cricbuzz.com/profiles/8233/soumya-sarkar
Sabbir Rahman,Bangladesh,https://www.cricbuzz.com/profiles/8231/sabbir-rahman
Mahmudullah,Bangladesh,https://www.cricbuzz.com/profiles/1121/mahmudullah
Shakib Al Hasan,Bangladesh,https://www.cricbuzz.com/profiles/544/shakib-al-hasan
Mosaddek Hossain,Bangladesh,https://www.cricbuzz.com/profiles/8541/mosaddek-hossain
Mohammad Saifuddin,Bangladesh,https://www.cricbuzz.com/profiles/11084/mohammad-saifuddin
Mehidy Hasan Miraz,Bangladesh,https://www.cricbuzz.com/profiles/11081/mehidy-hasan-miraz
Mushfiqur Rahim,Bangladesh,https://www.cricbuzz.com/profiles/394/mushfiqur-rahim
Litton Das,Bangladesh,https://www.cricbuzz.com/profiles/8540/litton-das
Mohammad Mithun,Bangladesh,https://www.cricbuzz.com/profiles/8221/mohammad-mithun
Mashrafe Mortaza,Bangladesh,https://www.cricbuzz.com/profiles/323/mashrafe-mortaza
Rubel Hossain,Bangladesh,https://www.cricbuzz.com/profiles/1736/rubel-hossain
Mustafizur Rahman,Bangladesh,https://www.cricbuzz.com/profiles/9863/mustafizur-rahman
Abu Jayed,Bangladesh,https://www.cricbuzz.com/profiles/8536/abu-jayed
Darren Bravo,West Indies,https://www.cricbuzz.com/profiles/1610/darren-bravo
Chris Gayle,West Indies,https://www.cricbuzz.com/profiles/247/chris-gayle
Evin Lewis,West Indies,https://www.cricbuzz.com/profiles/8579/evin-lewis
Shimron Hetmyer,West Indies,https://www.cricbuzz.com/profiles/9789/shimron-hetmyer
Fabian Allen,West Indies,https://www.cricbuzz.com/profiles/9785/fabian-allen
Jason Holder,West Indies,https://www.cricbuzz.com/profiles/8313/jason-holder
Andre Russell,West Indies,https://www.cricbuzz.com/profiles/7736/andre-russell
Carlos Brathwaite,West Indies,https://www.cricbuzz.com/profiles/8110/carlos-brathwaite
Shai Hope,West Indies,https://www.cricbuzz.com/profiles/10384/shai-hope
Nicholas Pooran,West Indies,https://www.cricbuzz.com/profiles/9406/nicholas-pooran
Sheldon Cottrell,West Indies,https://www.cricbuzz.com/profiles/9395/sheldon-cottrell
Shannon Gabriel,West Indies,https://www.cricbuzz.com/profiles/8092/shannon-gabriel
Kemar Roach,West Indies,https://www.cricbuzz.com/profiles/1359/kemar-roach
Ashley Nurse,West Indies,https://www.cricbuzz.com/profiles/7922/ashley-nurse
Oshane Thomas,West Indies,https://www.cricbuzz.com/profiles/11442/oshane-thomas
Craig Ervine,Zimbabwe,https://www.cricbuzz.com/profiles/6334/craig-ervine
Hamilton Masakadza,Zimbabwe,https://www.cricbuzz.com/profiles/425/hamilton-masakadza
Sikandar Raza,Zimbabwe,https://www.cricbuzz.com/profiles/9354/sikandar-raza
Sean Williams,Zimbabwe,https://www.cricbuzz.com/profiles/441/sean-williams
Solomon Mire,Zimbabwe,https://www.cricbuzz.com/profiles/9737/solomon-mire
