name,link
India,https://www.cricbuzz.com/cricket-team/india/2/players
Ireland,https://www.cricbuzz.com/cricket-team/ireland/27/players
Australia,https://www.cricbuzz.com/cricket-team/australia/4/players
Bangladesh,https://www.cricbuzz.com/cricket-team/bangladesh/6/players
West Indies,https://www.cricbuzz.com/cricket-team/west-indies/10/players
Zimbabwe,https://www.cricbuzz.com/cricket-team/zimbabwe/12/players
Malaysia,https://www.cricbuzz.com/cricket-team/malaysia/71/players
Germany,https://www.cricbuzz.com/cricket-team/germany/77/players
Denmark,https://www.cricbuzz.com/cricket-team/denmark/185/players
Papua New Guinea,https://www.cricbuzz.com/cricket-team/papua-new-guinea/287/players
Vanuatu,https://www.cricbuzz.com/cricket-team/vanuatu/300/players
Oman,https://www.cricbuzz.com/cricket-team/oman/304/players
Italy,https://www.cricbuzz.com/cricket-team/italy/527/players
Belgium,https://www.cricbuzz.com/cricket-team/belgium/541/players
Canada,https://www.cricbuzz.com/cricket-team/canada/26/players
Hong Kong,https://www.cricbuzz.com/cricket-team/hong-kong/8/players
United States,https://www.cricbuzz.com/cricket-team/united-states/15/players
Netherlands,https://www.cricbuzz.com/cricket-team/netherlands/24/players
Iran,https://www.cricbuzz.com/cricket-team/iran/675/players
Afghanistan,https://www.cricbuzz.com/cricket-team/afghanistan/96/players
Pakistan,https://www.cricbuzz.com/cricket-team/pakistan/3/players
Sri Lanka,https://www.cricbuzz.com/cricket-team/sri-lanka/5/players
England,https://www.cricbuzz.com/cricket-team/england/9/players
South Africa,https://www.cricbuzz.com/cricket-team/south-africa/11/players
New Zealand,https://www.cricbuzz.com/cricket-team/new-zealand/13/players
Nepal,https://www.cricbuzz.com/cricket-team/nepal/72/players
Namibia,https://www.cricbuzz.com/cricket-team/namibia/161/players
Singapore,https://www.cricbuzz.com/cricket-team/singapore/190/players
Kuwait,https://www.cricbuzz.com/cricket-team/kuwait/298/players
Jersey,https://www.cricbuzz.com/cricket-team/jersey/303/players
Fiji,https://www.cricbuzz.com/cricket-team/fiji/343/players
Botswana,https://www.cricbuzz.com/cricket-team/botswana/529/players
Uganda,https://www.cricbuzz.com/cricket-team/uganda/44/players
United Arab Emirates,https://www.cricbuzz.com/cricket-team/united-arab-emirates/7/players
Kenya,https://www.cricbuzz.com/cricket-team/kenya/14/players
Scotland,https://www.cricbuzz.com/cricket-team/scotland/23/players
Bermuda,https://www.cricbuzz.com/cricket-team/bermuda/25/players
